,Concept,Description,Priority,Understood (Y/N),Example Done (Y/N),Revisit Needed (Y/N),Personal Notes
0,DataFrames & Series,Core structure of pandas – essential for all operations,High,,,,
1,Reading/Writing Data,"read_csv(), read_excel(), to_csv(), to_excel()",High,,,,
2,Handling Missing Values,"isnull(), dropna(), fillna()",High,,,,
3,Data Type Conversion,"astype(), to_numeric()",Medium,,,,
4,String Operations,".str methods – lower(), contains(), replace()",Medium,,,,
5,Indexing & Selection,"loc[], iloc[], set_index(), reset_index()",High,,,,
6,Filtering Data,"Boolean indexing, multiple conditions",High,,,,
7,Sorting,"sort_values(), sort_index()",Medium,,,,
8,GroupBy & Aggregation,"groupby(), agg(), size(), count()",High,,,,
9,Pivot & Melt,"pivot(), melt(), pivot_table()",Medium,,,,
10,Merging & Joining,"merge(), join(), concat()",High,,,,
11,Apply & Lambda,"apply(), applymap(), lambda functions",High,,,,
12,Time Series,"to_datetime(), dt accessor, resample()",Medium,,,,
13,Rolling & Expanding,"rolling(), expanding()",Low,,,,
14,Vectorization,"Avoiding loops, using built-in pandas ops",High,,,,
15,Memory Optimization,"downcasting, checking memory usage",Low,,,,
16,Basic Visualization,"df.plot(), hist(), boxplot()",Low,,,,
17,Exporting Data,"to_csv(), to_excel()",Medium,,,,
